# timestamp tx ty tz qx qy qz qw
13117.8864631 -10.5406200882 2.38338642702 -11.3804208511 0.0500448728672, 0.328553563699 -0.133852044214 -0.933612176838
13117.8966628 -10.5408377256 2.38338273223 -11.3801778056 0.050045566539, 0.328536412724 -0.133852879711 -0.933618055405
13117.9064614 -10.5402679543 2.38338443028 -11.380638336 0.050050948434, 0.328562685378 -0.133851804723 -0.933608675362
13117.9166921 -10.5403261664 2.38333426616 -11.3805513278 0.0500505558098, 0.328557062177 -0.133855463822 -0.933610150738
13117.9264633 -10.540295143 2.38335215558 -11.3805145836 0.0500479190512, 0.328557463472 -0.133857035874 -0.933609925473
13117.9366605 -10.5403879704 2.38336053372 -11.3804730844 0.0500427115336, 0.328558084038 -0.133854543727 -0.933610343537
13117.9464609 -10.5404612288 2.38343081586 -11.3803200843 0.0500394403145, 0.328552050844 -0.133853849339 -0.933612741621
13117.9464609 -10.5404612288 2.38343081586 -11.3803200843 0.0500394403145, 0.328552050844 -0.133853849339 -0.933612741621
13117.9664604 -10.5408495061 2.38369446181 -11.3797967307 0.0500298332853, 0.328529129993 -0.133848259681 -0.933622123724
13117.9766593 -10.5405807572 2.38365339271 -11.380023274 0.0500293008791, 0.32854366582 -0.133851711545 -0.93361654228
13117.9864629 -10.5405965381 2.38366130914 -11.3801718687 0.0500295213416, 0.328541484642 -0.133846899116 -0.93361798797
13117.9966716 -10.5410045116 2.38347377681 -11.3798026344 0.0500327092001, 0.328520055123 -0.133854927521 -0.933624206933
13118.0064581 -10.5408155034 2.38342889073 -11.3799547757 0.0500341747721, 0.3285345072 -0.133857639638 -0.933618654079
13118.0166607 -10.5410796507 2.38343715315 -11.3796442166 0.0500316427765, 0.328519061 -0.133859380603 -0.933623975434
13118.0264645 -10.5404313744 2.38337578401 -11.3802646218 0.0500390789733, 0.328548503347 -0.133860175778 -0.933613102342
13118.0366734 -10.5402268408 2.38333978034 -11.3806781366 0.0500404546396, 0.328563339417 -0.133859122936 -0.933607958459
13118.0464607 -10.540153369 2.3832858059 -11.3807335492 0.0500417807121, 0.328566978909 -0.133861996698 -0.933606194492
13118.0566769 -10.5401656434 2.38320632066 -11.3807040571 0.0500485267055, 0.328566503516 -0.133863475299 -0.93360578818
13118.0664721 -10.5405481502 2.38318873229 -11.3803262473 0.0500509855504, 0.328542904253 -0.13386381164 -0.933613913159
13118.0766743 -10.5401404062 2.38313155536 -11.3806947094 0.0500556142354, 0.328565732554 -0.133865635192 -0.933605369838
13118.0864621 -10.5400052104 2.38311507786 -11.3810387671 0.0500522250602, 0.328573578558 -0.133863453381 -0.933603103085
13118.0966621 -10.5400378659 2.38311494721 -11.3809802687 0.0500529513107, 0.328570685068 -0.133864084504 -0.93360399199
13118.1064588 -10.5402615105 2.38305317503 -11.3807389152 0.0500545457145, 0.328559486764 -0.133867050546 -0.933607422255
13118.1166739 -10.5400049711 2.38310122238 -11.3809491955 0.0500595507238, 0.328570893518 -0.13386363077 -0.933603629851
13118.1264593 -10.5404590251 2.38325913984 -11.380472625 0.0500583469847, 0.32854269291 -0.133857522593 -0.933614494573
13118.1366662 -10.5397847745 2.3832855739 -11.3813126717 0.0500542806838, 0.328585844788 -0.133849601143 -0.933600661881
13118.1464601 -10.5402226579 2.38328540564 -11.3808924871 0.050051953816, 0.328565603299 -0.1338512874 -0.933607668729
13118.1567069 -10.5398065509 2.38333067902 -11.3812447332 0.0500585255412, 0.328584418921 -0.133847308039 -0.933601264884
13118.1664591 -10.5402476335 2.38337342951 -11.3808074162 0.0500587387216, 0.328560187071 -0.133845780103 -0.933610000642
